City,Lat,Long,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Rikitea,-23.1203,-134.9692,70.63,71,4,9.89,PF,1627760159
Kapaa,22.0752,-159.319,82.72,68,75,4.0,US,1627760159
Saldanha,-33.0117,17.9442,53.65,53,56,1.23,ZA,1627759980
Clyde river,70.4692,-68.5914,44.83,81,75,9.22,CA,1627760160
Solnechnyy,50.7214,136.6319,49.33,97,100,7.16,RU,1627760160
Grindavik,63.8424,-22.4338,57.15,100,90,12.66,IS,1627760160
Bluff,-46.6,168.3333,47.8,95,100,5.44,NZ,1627760161
Taber,49.8167,-112.1518,93.02,25,8,9.22,CA,1627760161
Road town,18.4167,-64.6167,86.2,79,40,10.36,VG,1627760162
Kodiak,57.79,-152.4072,53.11,82,90,5.75,US,1627760158
Aklavik,68.2191,-135.0107,75.92,38,96,11.48,CA,1627760162
Rio gallegos,-51.6226,-69.2181,42.85,45,75,19.57,AR,1627760162
Kloulklubed,7.0419,134.2556,83.7,74,99,10.29,PW,1627759944
Alyangula,-13.8483,136.4192,67.87,100,75,0.0,AU,1627760163
Hithadhoo,-0.6,73.0833,81.5,71,91,3.06,MV,1627760163
Hermanus,-34.4187,19.2345,55.9,78,100,4.9,ZA,1627759927
Iqaluit,63.7506,-68.5145,56.93,58,75,5.75,CA,1627760163
Airai,-8.9266,125.4092,58.24,90,60,3.62,TL,1627760164
Nome,64.5011,-165.4064,49.15,93,90,20.71,US,1627759891
Mataura,-46.1927,168.8643,47.48,100,100,1.63,NZ,1627760164
Norman wells,65.282,-126.8329,78.84,47,75,5.75,CA,1627760165
Khatanga,71.9667,102.5,67.19,44,100,13.65,RU,1627760165
Barrow,71.2906,-156.7887,46.42,90,90,14.97,US,1627760165
Mayor pablo lagerenza,-19.9309,-60.7718,87.4,17,59,3.42,PY,1627760166
Puerto ayora,-0.7393,-90.3518,75.16,95,41,7.0,EC,1627760166
Tuatapere,-46.1333,167.6833,47.82,96,100,3.91,NZ,1627760166
Kruisfontein,-34.0033,24.7314,54.88,59,16,2.37,ZA,1627760167
Pemangkat,1.1667,108.9667,78.78,86,16,7.0,ID,1627760167
Baracoa,20.3467,-74.4958,85.59,73,46,11.14,CU,1627760167
Riyadh,24.6877,46.7219,98.74,14,74,5.41,SA,1627759914
Bethel,41.3712,-73.414,77.09,53,75,8.05,US,1627760168
Hagere hiywet,8.9833,37.85,54.23,96,75,2.51,ET,1627760168
Maxixe,-23.8597,35.3472,64.22,82,20,0.0,MZ,1627760169
Clyde,41.3042,-82.9752,80.67,51,26,8.28,US,1627760169
Qaanaaq,77.484,-69.3632,43.2,83,93,3.44,GL,1627760169
Nikolskoye,59.7035,30.7861,66.09,71,71,4.38,RU,1627760170
Sitka,57.0531,-135.33,60.69,88,90,4.61,US,1627759906
Ballina,-28.8667,153.5667,57.38,93,0,0.0,AU,1627760170
Biak,-0.9131,122.8766,75.16,87,23,4.76,ID,1627760170
Paciran,-6.8767,112.3761,76.42,83,84,4.88,ID,1627760171
Jamestown,42.097,-79.2353,74.3,53,20,4.0,US,1627760171
Kikuchi,32.9833,130.8167,79.38,97,100,2.51,JP,1627760172
Chuy,-33.6971,-53.4616,53.89,80,0,4.68,UY,1627760172
Contamana,-7.3333,-75.0167,84.11,38,17,2.17,PE,1627760172
The pas,53.8251,-101.2541,73.42,40,75,9.08,CA,1627760173
Minot,48.2325,-101.2963,86.22,29,40,5.99,US,1627760173
Bilibino,68.0546,166.4372,42.37,70,100,1.79,RU,1627760173
Maceio,-9.6658,-35.7353,78.24,83,75,16.11,BR,1627760174
Aguimes,27.9054,-15.4461,74.66,64,20,34.52,ES,1627760174
Guerrero negro,27.9769,-114.0611,85.32,48,5,11.36,MX,1627760174
Butaritari,3.0707,172.7902,81.16,75,14,6.04,KI,1627760175
Punta arenas,-53.15,-70.9167,42.91,56,0,16.11,CL,1627760014
Hilo,19.7297,-155.09,79.61,85,90,8.05,US,1627760156
Outram,1.2829,103.8379,80.53,86,75,2.3,MY,1627760175
Avera,33.194,-82.5271,98.91,47,98,8.05,US,1627760175
Conceicao da barra,-18.5933,-39.7322,68.18,69,54,11.65,BR,1627760176
Bambous virieux,-20.3428,57.7575,70.05,78,75,14.97,MU,1627760176
Avarua,-21.2078,-159.775,75.25,73,40,17.27,CK,1627760177
Russell,32.3502,-85.1999,94.28,55,20,13.8,US,1627760177
Chokurdakh,70.6333,147.9167,37.51,82,100,20.38,RU,1627760177
Hobart,-42.8794,147.3294,48.06,69,6,4.0,AU,1627760178
Lebu,-37.6167,-73.65,51.91,68,0,15.7,CL,1627760178
Bredasdorp,-34.5322,20.0403,51.28,93,100,1.14,ZA,1627759961
Albany,42.6001,-73.9662,73.62,47,67,8.34,US,1627760179
Provideniya,64.3833,-173.3,45.5,85,100,3.85,RU,1627760179
Port-cartier,50.0334,-66.8654,69.93,56,100,9.35,CA,1627760179
Cherskiy,68.75,161.3,41.29,92,100,13.94,RU,1627760180
Husavik,66.0449,-17.3389,60.71,62,64,3.8,IS,1627760180
Ostrovnoy,68.0531,39.5131,46.58,95,99,5.01,RU,1627760180
Pevek,69.7008,170.3133,35.87,79,86,2.82,RU,1627760181
Namie,37.4833,141.0,76.71,98,2,3.36,JP,1627760181
Shestakovo,56.4915,103.96,57.0,88,54,2.21,RU,1627760181
Faanui,-16.4833,-151.75,77.86,63,96,16.62,PF,1627760182
Omsukchan,62.5333,155.8,48.65,64,99,4.65,RU,1627760182
Xai-xai,-25.0519,33.6442,62.19,84,0,6.58,MZ,1627760182
Whitehorse,60.7161,-135.0538,75.09,40,20,13.0,CA,1627760183
East london,-33.0153,27.9116,66.0,40,87,6.85,ZA,1627760183
Lata,40.1629,-8.3327,63.91,80,9,8.55,PT,1627759919
Esperance,-33.8667,121.9,49.84,72,8,29.33,AU,1627760183
Banjar,-8.19,114.9675,78.66,88,45,6.49,ID,1627760184
Gat,31.61,34.7642,82.4,57,0,4.12,IL,1627759938
Port alfred,-33.5906,26.891,67.06,41,100,5.99,ZA,1627760184
Ushuaia,-54.8,-68.3,44.26,57,75,24.16,AR,1627759997
Olafsvik,64.8945,-23.7142,55.08,91,87,7.54,IS,1627760185
Gilgit,35.9221,74.3087,77.83,69,99,1.92,PK,1627760185
Roald,62.5833,6.1333,57.16,82,75,17.27,NO,1627760185
Haines junction,60.7522,-137.5108,71.55,43,7,2.3,CA,1627760186
Talnakh,69.4865,88.3972,51.42,84,8,9.6,RU,1627759947
Krasnovishersk,60.4078,57.082,62.24,99,100,6.06,RU,1627760186
Suzun,53.7841,82.3116,63.19,43,53,4.32,RU,1627760186
Saint george,37.1041,-113.5841,96.39,33,1,1.99,US,1627760187
Libreville,0.3925,9.4537,78.82,83,20,8.05,GA,1627760187
Djougou,9.7085,1.666,70.83,95,100,3.85,BJ,1627760187
Anloga,5.7947,0.8973,79.02,88,34,9.69,GH,1627760188
Kaitangata,-46.2817,169.8464,47.28,97,100,2.77,NZ,1627760188
Ribeira grande,38.5167,-28.7,77.4,73,20,10.36,PT,1627759893
Mahebourg,-20.4081,57.7,70.09,78,75,14.97,MU,1627760188
Sao filipe,14.8961,-24.4956,76.05,84,86,11.9,CV,1627760190
Harrison,30.4091,-89.0436,94.33,76,1,6.91,US,1627760190
Boa vista,2.8197,-60.6733,85.98,58,75,3.44,BR,1627760042
Ilulissat,69.2167,-51.1,59.02,38,1,3.44,GL,1627760177
Kudahuvadhoo,2.6708,72.8944,82.92,71,97,5.35,MV,1627760191
Ugoofaaru,5.6667,73.0,82.22,76,28,11.23,MV,1627760191
Pingliang,35.5392,106.6861,74.07,34,0,8.5,CN,1627760192
Namatanai,-3.6667,152.4333,78.1,84,79,4.72,PG,1627760192
Ponta do sol,32.6667,-17.1,72.23,67,3,7.74,PT,1627760183
Mogadishu,2.0371,45.3438,76.32,81,92,17.92,SO,1627760192
Boguchany,58.3814,97.4531,55.89,84,100,1.5,RU,1627760193
Xining,36.6167,101.7667,55.71,73,3,2.39,CN,1627760193
Ansermanuevo,4.7972,-75.995,86.77,55,63,3.06,CO,1627760193
Sunland park,31.7965,-106.58,92.32,39,1,1.99,US,1627759987
Buala,-8.145,159.5921,78.35,86,100,9.4,SB,1627760194
Lorengau,-2.0226,147.2712,79.75,77,36,4.18,PG,1627760194
Yellowknife,62.456,-114.3525,80.29,53,20,9.22,CA,1627760173
Planadas,3.197,-75.6451,81.09,55,89,5.61,CO,1627760195
Ahipara,-35.1667,173.1667,52.09,86,19,5.01,NZ,1627760195
Vaini,-21.2,-175.2,71.76,94,90,12.66,TO,1627760195
Kamaishi,39.2667,141.8833,73.54,93,100,6.73,JP,1627760196
Sao joao da barra,-21.6403,-41.0511,62.69,64,100,11.36,BR,1627760116
